name,policy,mean_reward,std_reward,train_minutes,learning_rate,gamma,batch_size,exploration_initial_eps,exploration_final_eps,exploration_fraction,model_path,training_csv_path,total_timesteps,eval_json_path
raissa_exp10_mlp_large_batch,MlpPolicy,2.8,5.455272678794342,1.5309034744898478,0.0001,0.99,128,1.0,0.05,0.1,results/Raissa/models/raissa_exp10_mlp_large_batch.zip,/kaggle/working/results/Raissa/logs/raissa_exp10_mlp_large_batch_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp10_mlp_large_batch/raissa_exp10_mlp_large_batch_eval.json
raissa_exp03_cnn_low_lr,CnnPolicy,-1.2,1.1661903789690602,5.076562130451203,5e-05,0.99,32,1.0,0.05,0.1,results/Raissa/models/raissa_exp03_cnn_low_lr.zip,/kaggle/working/results/Raissa/logs/raissa_exp03_cnn_low_lr_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp03_cnn_low_lr/raissa_exp03_cnn_low_lr_eval.json
raissa_exp04_mlp_low_lr,MlpPolicy,-2.4,6.343500610861483,1.5524717609087626,5e-05,0.99,32,1.0,0.05,0.1,results/Raissa/models/raissa_exp04_mlp_low_lr.zip,/kaggle/working/results/Raissa/logs/raissa_exp04_mlp_low_lr_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp04_mlp_low_lr/raissa_exp04_mlp_low_lr_eval.json
raissa_exp09_cnn_large_batch,CnnPolicy,-4.0,6.196773353931867,6.33756461540858,0.0001,0.99,128,1.0,0.05,0.1,results/Raissa/models/raissa_exp09_cnn_large_batch.zip,/kaggle/working/results/Raissa/logs/raissa_exp09_cnn_large_batch_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp09_cnn_large_batch/raissa_exp09_cnn_large_batch_eval.json
raissa_exp02_mlp_baseline,MlpPolicy,-6.8,6.8527366796047255,1.532663377126058,0.0001,0.99,32,1.0,0.05,0.1,results/Raissa/models/raissa_exp02_mlp_baseline.zip,/kaggle/working/results/Raissa/logs/raissa_exp02_mlp_baseline_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp02_mlp_baseline/raissa_exp02_mlp_baseline_eval.json
raissa_exp06_mlp_high_lr,MlpPolicy,-7.0,4.9396356140913875,1.5298700332641602,0.00025,0.99,32,1.0,0.05,0.1,results/Raissa/models/raissa_exp06_mlp_high_lr.zip,/kaggle/working/results/Raissa/logs/raissa_exp06_mlp_high_lr_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp06_mlp_high_lr/raissa_exp06_mlp_high_lr_eval.json
raissa_exp05_cnn_high_lr,CnnPolicy,-7.2,8.009993757800315,5.038763177394867,0.00025,0.99,32,1.0,0.05,0.1,results/Raissa/models/raissa_exp05_cnn_high_lr.zip,/kaggle/working/results/Raissa/logs/raissa_exp05_cnn_high_lr_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp05_cnn_high_lr/raissa_exp05_cnn_high_lr_eval.json
raissa_exp07_cnn_slow_eps,CnnPolicy,-8.0,9.899494936611665,4.820394305388133,0.0001,0.99,32,1.0,0.1,0.5,results/Raissa/models/raissa_exp07_cnn_slow_eps.zip,/kaggle/working/results/Raissa/logs/raissa_exp07_cnn_slow_eps_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp07_cnn_slow_eps/raissa_exp07_cnn_slow_eps_eval.json
raissa_exp01_cnn_baseline,CnnPolicy,-9.8,9.410632284814874,5.1274311423301695,0.0001,0.99,32,1.0,0.05,0.1,results/Raissa/models/raissa_exp01_cnn_baseline.zip,/kaggle/working/results/Raissa/logs/raissa_exp01_cnn_baseline_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp01_cnn_baseline/raissa_exp01_cnn_baseline_eval.json
raissa_exp08_mlp_slow_eps,MlpPolicy,-15.0,3.7416573867739413,1.4612120429674784,0.0001,0.99,32,1.0,0.1,0.5,results/Raissa/models/raissa_exp08_mlp_slow_eps.zip,/kaggle/working/results/Raissa/logs/raissa_exp08_mlp_slow_eps_training_metrics.csv,50000,/kaggle/working/results/Raissa/raissa_exp08_mlp_slow_eps/raissa_exp08_mlp_slow_eps_eval.json
